# FilantropiaSolar Analysis Report
# Installation: Lisbon PV Plant
# Location: Lisbon
# Capacity: 46 kWp
# Center Date: 2021-02-09
# Analysis Period: 7 days
# Generated: 2026-02-09T01:46:14.183Z
#
# PERIOD STATISTICS
# Total Energy: 436.45 kWh
# Avg Daily: 62.35 kWh/day
#

DAILY SUMMARY
Date,Energy_kWh,Peak_kWh,Avg_Temp_C,Avg_Cloud_Pct
2021-02-06,45.70,8.62,11.1,75
2021-02-07,37.23,5.88,12.2,83
2021-02-08,85.92,15.89,13.3,65
2021-02-09,56.98,15.35,13.9,77
2021-02-10,38.76,6.51,14.3,92
2021-02-11,50.25,9.27,14.8,98
2021-02-12,121.61,21.22,13.0,41

HOURLY DATA
Timestamp,Hour,Energy_kWh,Temperature_C,Cloud_Cover_Pct,Humidity_Pct
2021-02-06T10:00:00,10,1.361,10.9,99,86
2021-02-06T11:00:00,11,1.795,11.2,98,82
2021-02-06T12:00:00,12,3.885,11.1,90,87
2021-02-06T13:00:00,13,7.970,12.0,99,79
2021-02-06T14:00:00,14,8.621,12.4,100,73
2021-02-06T15:00:00,15,7.677,12.2,95,72
2021-02-06T16:00:00,16,6.415,12.2,64,71
2021-02-06T17:00:00,17,6.533,12.1,33,70
2021-02-06T18:00:00,18,1.040,11.3,87,76
2021-02-07T09:00:00,9,1.707,11.6,99,70
2021-02-07T10:00:00,10,3.703,12.5,99,66
2021-02-07T11:00:00,11,5.355,13.0,100,65
2021-02-07T12:00:00,12,4.740,13.1,99,68
2021-02-07T13:00:00,13,5.090,13.1,100,70
2021-02-07T14:00:00,14,5.776,13.6,100,69
2021-02-07T15:00:00,15,5.880,13.9,100,71
2021-02-07T16:00:00,16,2.994,13.6,100,76
2021-02-07T17:00:00,17,1.723,13.4,100,82
2021-02-08T09:00:00,9,2.977,13.2,55,74
2021-02-08T10:00:00,10,7.671,13.9,25,75
2021-02-08T11:00:00,11,13.580,14.4,32,69
2021-02-08T12:00:00,12,15.889,14.0,33,74
2021-02-08T13:00:00,13,10.845,14.4,98,71
2021-02-08T14:00:00,14,12.842,14.9,98,67
2021-02-08T15:00:00,15,9.095,14.4,99,68
2021-02-08T16:00:00,16,7.132,14.4,98,66
2021-02-08T17:00:00,17,4.607,14.1,85,67
2021-02-08T18:00:00,18,1.283,13.4,98,73
2021-02-09T10:00:00,10,0.556,13.8,100,89
2021-02-09T11:00:00,11,0.742,13.6,100,91
2021-02-09T12:00:00,12,4.851,13.1,100,87
2021-02-09T13:00:00,13,1.560,13.7,65,85
2021-02-09T14:00:00,14,12.836,14.9,17,79
2021-02-09T15:00:00,15,15.348,15.2,44,74
2021-02-09T16:00:00,16,12.192,14.9,25,78
2021-02-09T17:00:00,17,6.790,14.4,30,78
2021-02-09T18:00:00,18,2.101,13.7,41,80
2021-02-10T09:00:00,9,3.798,13.6,25,91
2021-02-10T10:00:00,10,6.382,14.8,98,85
2021-02-10T11:00:00,11,6.486,15.2,98,80
2021-02-10T12:00:00,12,3.867,13.9,100,92
2021-02-10T13:00:00,13,3.760,14.3,100,91
2021-02-10T14:00:00,14,6.510,14.9,100,92
2021-02-10T15:00:00,15,3.043,15.0,100,93
2021-02-10T16:00:00,16,2.460,15.4,100,95
2021-02-10T17:00:00,17,1.825,15.4,100,94
2021-02-10T18:00:00,18,0.635,14.9,100,96
2021-02-11T09:00:00,9,0.529,14.6,100,97
2021-02-11T10:00:00,10,2.322,15.1,98,96
2021-02-11T11:00:00,11,6.487,15.6,96,95
2021-02-11T12:00:00,12,7.131,15.2,97,96
2021-02-11T13:00:00,13,5.385,15.9,97,94
2021-02-11T14:00:00,14,9.265,16.4,97,92
2021-02-11T15:00:00,15,8.758,16.2,97,91
2021-02-11T16:00:00,16,6.351,15.9,95,92
2021-02-11T17:00:00,17,3.227,15.4,100,93
2021-02-11T18:00:00,18,0.794,14.9,100,96
2021-02-12T09:00:00,9,4.946,13.1,1,92
2021-02-12T10:00:00,10,11.578,14.4,14,85
2021-02-12T11:00:00,11,17.426,15.4,22,75
2021-02-12T12:00:00,12,21.221,16.2,7,69
2021-02-12T13:00:00,13,16.130,16.9,68,67
2021-02-12T14:00:00,14,14.862,16.4,57,74
2021-02-12T15:00:00,15,13.977,15.9,62,78
2021-02-12T16:00:00,16,12.608,15.6,50,76
2021-02-12T17:00:00,17,6.693,14.8,78,78
2021-02-12T18:00:00,18,2.168,12.9,83,88
